5
Fold Check-Call 50%-Pot 100%-Pot All-In 
4.2964e-07 0.239963 0.527415 0.231597 0.00102467 
0.00900295 0.562845 0.362269 0.0658811 1.61418e-06 
0.0104313 0.356252 0.255446 0.377859 1.09887e-05 
0.0136048 0.160993 0.45267 0.372221 0.00051078 
0.00676327 0.638708 0.119829 0.2347 0 
0.00229368 0.078834 0.532477 0.38636 3.50217e-05 
0.00619123 0.257879 0.377527 0.358399 3.76412e-06 
0.0139368 0.166738 0.485863 0.333289 0.000172704 
0.0367578 0.315208 0.348975 0.299056 3.55048e-06 
0.006995 0.0534034 0.230518 0.709083 0 
0.0846586 0.252775 0.361889 0.300664 1.26779e-05 
0.00411738 0.313472 0.659932 0.0222027 0.000275465 
0.0439287 0.233201 0.712211 0.0106376 2.09867e-05 
0.00153446 0.312835 0.379213 0.306384 3.45354e-05 
0.0233588 0.186839 0.753871 0.0358542 7.65108e-05 
0 0.0777036 0.620367 0.298415 0.0035143 
0.00327551 0.529978 0.0909515 0.375774 2.07345e-05 
0.00936765 0.166376 0.564955 0.25929 1.10221e-05 
0.00290815 0.155889 0.594873 0.24633 8.30183e-07 
0.0129576 0.434857 0.510504 0.04168 1.07061e-06 
0.000296433 0.146246 0.772111 0.0806755 0.000671074 
0.00195963 0.229191 0.191841 0.577 8.4444e-06 
0.0222358 0.093696 0.802672 0.0813963 0 
0.0306928 0.386479 0.222195 0.360632 8.37757e-07 
0.0030291 0.0523181 0.727837 0.216461 0.000354309 
0.00471049 0.350896 0.506893 0.137428 7.26209e-05 
0 0.0054072 0.696317 0.298225 5.12138e-05 
1.7574e-05 0.29275 0.448995 0.257733 0.000504389 
1.44204e-07 0.0115676 0.659493 0.32473 0.00420864 
0.00398368 0.395466 0.390147 0.210139 0.000264543 
0.00233586 0.442923 0.346941 0.207783 1.76147e-05 
0.00379153 0.00172022 0.986515 0.00797093 1.95044e-06 
0.00496214 0.409383 0.296983 0.288662 8.98814e-06 
0.000213311 0.0214009 0.0803532 0.897969 6.33581e-05 
0.00351753 0.453195 0.257312 0.285934 4.10453e-05 
0.000437653 0.0116515 0.860802 0.126558 0.000550925 
0.00217443 0.113502 0.533131 0.351172 2.09004e-05 
3.21685e-07 0.000146658 0.282971 0.716876 6.11408e-06 
3.32866e-06 0.216124 0.551327 0.232544 1.57985e-06 
2.14553e-07 0.0391391 0.498787 0.455014 0.00705988 
0.00184301 0.0253367 0.549049 0.423638 0.000133556 
0.0019455 0.573603 0.185353 0.239006 9.26075e-05 
8.99037e-06 0.0182334 0.231317 0.750436 4.88569e-06 
0.000986128 0.350347 0.635536 0.0131212 8.84708e-06 
0.00028165 0.00170491 0.774528 0.223089 0.000395858 
0.000368267 0.426663 0.0632473 0.509421 0.000299946 
4.69804e-06 0.0189117 0.17137 0.806946 0.00276819 
4.96158e-07 0.0453065 0.509074 0.44335 0.00226866 
2.15031e-07 0.190202 0.368044 0.441657 9.77561e-05 
0.000458085 0.481692 0.48158 0.0362632 6.29895e-06 
0.00266799 0.282356 0.37467 0.340304 2.02427e-06 
0.000396478 0.0746028 0.632378 0.292235 0.000388042 
0.00149852 0.269034 0.29694 0.432406 0.000120991 
9.89669e-07 0.0844995 0.482925 0.43117 0.00140447 
1.60398e-07 0.0233739 0.325938 0.650391 0.000296164 
2.15368e-07 0.241125 0.33884 0.420021 1.29596e-05 
9.72878e-07 0.206014 0.0641952 0.729149 0.0006409 
1.85111e-07 0.085365 0.802042 0.112536 5.70856e-05 
1.55788e-06 0.350022 0.431884 0.218088 3.99454e-06 
2.63259e-07 0.0829927 0.380352 0.535483 0.00117279 
0 0.0564432 0.407807 0.535743 7.12458e-06 
9.51393e-07 0.0121562 0.562328 0.424853 0.000661925 
1.61545e-06 0.271069 0.264414 0.460147 0.00436782 
0 0.0826272 0.380862 0.536477 3.35171e-05 
