5
Fold Check-Call 50%-Pot 100%-Pot All-In 
1 0.00704471 0.614785 0.230676 0.147451 4.23046e-05 
1 0.00857735 0.00028105 0.138554 0.852588 2.81696e-07 
1 0.982304 0.0125528 0.00513591 7.66557e-06 0 
1 0.00634239 0.168663 0.401957 0.423036 1.27136e-06 
1 0.0138887 0.134598 0.718332 0.133178 3.18471e-06 
1 0.0220115 0.0439718 0.714017 0.219998 1.58918e-06 
1 0.00219152 0.330442 0.0951846 0.572182 0 
1 0.00830668 0.204102 0.230792 0.556778 2.09672e-05 
1 0.950319 0.0440916 0.00271149 0.00287437 3.10192e-06 
1 0.0294714 0.157091 0.196767 0.616652 1.84417e-05 
1 0.97581 3.78145e-05 0.00264277 0.0215086 1.19215e-06 
1 0.0272229 0.548463 0.00778545 0.416496 3.33319e-05 
1 0.996813 0.000246492 0.0029385 1.62617e-06 1.87826e-07 
1 0.0161233 0.165033 0.526231 0.292549 6.41936e-05 
1 0.999997 2.93055e-07 9.38126e-08 2.27861e-06 9.38126e-08 
1 0.00435578 0.355879 0.574055 0.0657013 8.17642e-06 
1 0.34124 0.611857 0.00888587 0.0380103 7.30857e-06 
1 0.00773979 0.778021 0.160665 0.053564 1.08927e-05 
1 0.179795 0.617233 0.0324801 0.170491 7.63949e-07 
1 0.00703633 0.269184 0.394659 0.329112 8.07044e-06 
1 0.113573 0.780294 0.078004 0.0281291 0 
1 0.00150047 0.464957 0.177571 0.355972 0 
1 0.12678 0.556867 0.112943 0.203401 8.04915e-06 
1 0.00115404 0.723837 0.142454 0.132451 0.000104356 
1 0.0588381 0.183771 0.321489 0.435803 9.90462e-05 
1 0.00283864 0.345368 0.598802 0.0529915 1.87483e-07 
1 0.00183728 0.11191 0.73119 0.15506 2.04407e-06 
1 0.00318763 0.175737 0.540761 0.280314 9.38259e-08 
1 0.00294183 0.124301 0.00796897 0.864781 7.18087e-06 
1 0.00230256 0.387111 0.330903 0.279681 2.19004e-06 
1 0.00479563 0.202296 0.561333 0.231573 2.24952e-06 
1 0.00297687 0.604515 0.206663 0.185845 9.38824e-08 
