8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
0.0125698 0.000978855 0.0378907 0.0766631 0.193455 0.687841 0.000423684 0.00258339 0.000164786 
0.00496044 0.00047364 0.0640942 0.00416888 0.153418 0.545474 0.219511 0.0126666 0.000193349 
0.102748 0.000717428 0.0857724 0.00748343 0.0771191 0.820641 0.00731015 0.000955007 1.30199e-06 
0.000756681 0.00346478 0.136783 0.0804874 0.323165 0.175764 0.212763 0.0533114 0.0142609 
0.00019781 0.000999117 0.0349875 0.0245653 0.388118 0.498282 0.0453015 0.00633189 0.0014153 
0.0820741 0.000401037 0.531457 0.00181041 0.00159448 0.0777231 0.382831 0.00416299 1.97675e-05 
0.02585 0.000421817 0.997003 0.00161811 0.000156237 0.00049353 0.000288976 1.79255e-05 2.19076e-07 
0.111865 0.000117176 0.472522 0.00772557 0.0259501 0.215817 0.26576 0.0119533 0.000154806 
0.324016 0.000175548 0.703398 0.00900915 0.035181 0.234016 0.016997 0.00119335 3.00634e-05 
0.00664617 0.00135141 0.956316 0.000869156 0.00538579 0.0212332 0.0110699 0.00370891 6.5997e-05 
0.00950432 0.00305667 0.984598 0.00471352 0.000217144 0.00300214 0.00384362 0.000319953 0.000248727 
0.00103278 0.000835955 0.390549 8.06868e-06 1.44868e-05 0.000626098 0.602771 0.00518776 8.06868e-06 
0.178708 0.0224915 0.944517 0.00169724 0.00182234 0.0269909 0.00221557 0.000201229 6.41862e-05 
0.0102335 0.0527175 0.911029 0.0055443 0.00240245 0.0262273 0.00180467 0.000205794 6.87593e-05 
0.174467 0.00800486 0.585165 0.00820651 0.000193847 0.396289 0.00186747 0.000270325 3.56024e-06 
0.0411109 0.0305654 0.961423 0.00184742 0.00106857 0.00287247 0.0019443 0.000275806 3.1134e-06 
0.0286488 0.00823866 0.734717 7.08151e-05 0.000620686 0.254991 0.00013734 0.00119342 3.1319e-05 
0.144414 0.00881992 0.863852 0.000450314 0.000804071 0.125802 0.000204507 3.43792e-05 3.27703e-05 
0.025181 0.000797776 0.0291675 0.0527583 0.141485 0.747829 0.0244224 0.00338573 0.000153449 
0.00108543 0.000978855 0.0378907 0.0766631 0.193455 0.687841 0.000423684 0.00258339 0.000164786 
0.155129 0.00047364 0.0640942 0.00416888 0.153418 0.545474 0.219511 0.0126666 0.000193349 
0.00261297 0.000717428 0.0857724 0.00748343 0.0771191 0.820641 0.00731015 0.000955007 1.30199e-06 
0.000619441 0.000794047 0.0583702 0.0213594 0.299893 0.482941 0.0860728 0.0372032 0.0133664 
7.91174e-05 8.39888e-05 0.0288983 0.010677 0.347573 0.59719 0.00973042 0.00437985 0.00146804 
0.00411128 0.000401037 0.531457 0.00181041 0.00159448 0.0777231 0.382831 0.00416299 1.97675e-05 
0.0345894 0.000421817 0.997003 0.00161811 0.000156237 0.00049353 0.000288976 1.79255e-05 2.19076e-07 
0.0635156 0.000117176 0.472522 0.00772557 0.0259501 0.215817 0.26576 0.0119533 0.000154806 
0.0341844 0.000166117 0.765163 0.00716042 0.0284746 0.184457 0.0134947 0.00104126 4.2562e-05 
0.00350927 0.00135141 0.956316 0.000869156 0.00538579 0.0212332 0.0110699 0.00370891 6.5997e-05 
