5
Fold Check-Call 50%-Pot 100%-Pot All-In 
1 0.00472901 0.742701 0.219779 0.0327589 3.12188e-05 
1 0.00326342 0.505111 0.366905 0.12472 1.87826e-07 
1 0.00277407 0.924817 0.0580771 0.0140061 0.000326196 
1 0.00233135 0.860509 0.0183598 0.118776 2.37508e-05 
1 0.000799519 0.0494409 0.0151286 0.934612 1.8468e-05 
1 0.00303713 0.977809 4.16209e-06 0.0190848 6.51138e-05 
1 0.00085012 0.890406 0.0416487 0.0670927 2.5359e-06 
1 0.00311311 0.95754 0.0264345 0.0128467 6.56425e-05 
1 0.00342097 0.145334 0.419252 0.431929 6.38277e-05 
1 0.00538976 0.680606 0.233534 0.0804297 4.01126e-05 
1 1.8764e-07 0.201305 0.439456 0.357049 0.00218972 
1 0.00152195 0.358817 0.427841 0.211751 6.83692e-05 
1 0.00644736 0.798822 0.0716805 0.123029 2.09203e-05 
1 0.0032238 0.00814378 0.672181 0.316382 6.87296e-05 
1 0.00891961 0.587771 0.261906 0.141403 0 
1 0.0038528 0.846428 0.149574 2.25573e-05 0.00012235 
1 0.00384256 0.534695 0.0694554 0.391906 0.00010164 
1 0.00759839 0.102272 0.0214623 0.868279 0.000388039 
1 0.00769137 0.961945 0.00876699 0.0215922 4.66424e-06 
1 0.0049339 0.916551 0.0360822 0.0424167 1.64418e-05 
1 0.00516708 0.56651 0.415729 0.012573 2.10438e-05 
1 0.00497103 0.77366 0.0315381 0.189804 2.68244e-05 
1 0.00274193 0.887712 0.0970982 0.0124438 3.82855e-06 
1 5.64335e-07 0.236697 0.610012 0.152475 0.000815099 
1 0.0025256 0.802397 0.17996 0.0151111 6.03336e-06 
1 0.000232831 0.0324095 0.671967 0.292109 0.00328132 
1 0.00103486 0.222824 0.610174 0.165952 1.53243e-05 
1 0.00231445 0.524766 0.116669 0.356231 1.87521e-05 
1 0.00334693 0.127441 0.269345 0.599838 3.01559e-05 
1 0.00687166 0.710043 0.10978 0.173292 1.34628e-05 
1 0.00910213 0.00984525 0.0250911 0.955714 0.000247822 
1 0.00501851 0.391931 0.407455 0.195591 4.70005e-06 
1 0.00187873 0.0605309 0.30869 0.628835 6.57613e-05 
1 0.00109093 0.773957 0.192531 0.0323835 3.764e-05 
1 0.00191989 0.25648 0.250785 0.490812 3.09419e-06 
1 0.00281508 0.331616 0.664951 0.000616433 1.12784e-06 
1 0.0022915 0.0401729 0.563879 0.392388 0.00126941 
1 1.92162e-05 0.307599 0.0590889 0.633228 6.4892e-05 
1 3.82145e-06 0.0699639 0.349457 0.578525 0.00205006 
1 0.00214368 0.272727 0.378248 0.346876 5.55416e-06 
1 0.00382955 0.543454 0.214178 0.238343 0.000195648 
1 0.00164162 0.00880819 0.987513 0.0020201 1.69827e-05 
1 0.00533912 0.893955 0.0296749 0.0710222 9.05999e-06 
1 0.00800333 0.000541753 0.991304 9.25748e-05 5.81113e-05 
1 0.00172483 0.640028 0.0295544 0.328631 6.11492e-05 
1 0.000747952 0.0832336 0.521438 0.394324 0.000255999 
1 0.000359892 0.507228 0.194469 0.297541 0.000402865 
1 3.55562e-06 0.27999 0.240972 0.479026 7.83785e-06 
1 7.50006e-06 0.448723 0.16865 0.382414 0.000205351 
1 9.39815e-06 6.38503e-05 0.681076 0.301412 0.0174381 
1 0.0048154 0.0425224 0.618334 0.33405 0.000278324 
1 0.00504132 0.765597 0.0725587 0.156717 8.58672e-05 
1 0.00293491 0.164664 0.542289 0.290073 3.91629e-05 
1 0.000243325 0.998323 0.00136035 6.21781e-05 1.11771e-05 
1 0.00042616 0.0494999 0.872234 0.0778403 0 
1 0.000691642 0.815547 0.0428669 0.140794 0.000100918 
1 1.55767e-05 0.0486719 0.328115 0.620344 0.00285359 
1 2.29682e-06 0.366054 0.361593 0.271916 0.000435292 
1 3.56656e-06 3.64482e-06 0.204404 0.795566 2.34131e-05 
1 0.000168937 0.0104907 0.284786 0.703925 0.000629029 
1 0.00166506 0.755652 0.0588338 0.183839 9.61671e-06 
1 0.000288399 0.0507857 0.642409 0.306077 0.000440124 
1 7.23149e-06 0.774106 0.128895 0.0969471 4.46559e-05 
1 3.66004e-06 0.0674429 0.250871 0.679406 0.00227652 
1 7.50702e-07 0.573557 0.292323 0.13086 0.00325822 
1 4.40136e-05 0.000319896 0.467309 0.529884 0.00244318 
1 1.6873e-06 0.0254454 0.713327 0.260479 0.000747687 
1 9.36503e-06 0.0150774 0.656086 0.327971 0.000856147 
1 3.41624e-07 0.00647737 0.632094 0.360821 0.00060684 
1 6.37758e-06 0.00193997 0.313328 0.683925 0.000801454 
1 1.89187e-06 5.92368e-07 0.345563 0.654145 0.000289456 
1 1.81863e-05 4.53426e-05 0.306364 0.692929 0.000643916 
1 1.27492e-05 9.50894e-05 0.520774 0.461939 0.0171792 
1 3.75255e-07 8.68871e-06 0.462231 0.537752 8.17449e-06 
