5
Fold Check-Call 50%-Pot 100%-Pot All-In 
0.695429 0.00109985 0.808611 0.18904 0.00102434 0.000224365 
0.000317916 0.0720366 0.0238624 0.0661839 0.836134 0.00178314 
0.0141994 0.488848 0.511017 2.18901e-05 0.000105706 7.48503e-06 
0.190787 0.200792 0.576483 0.0518802 0.170845 0 
0.152253 0.0614743 0.650304 0.26177 0.0264483 3.47526e-06 
0.0497397 2.60265e-05 0.99273 1.60355e-05 0.00671049 0.000517845 
0.373787 0.0339716 0.711299 0.052237 0.202493 0 
0.230875 0.0500546 0.894597 0.0553483 0 0 
0.0498752 0.62385 0.21158 0.119874 0.0446937 2.1228e-06 
0.177697 4.1975e-05 0.998613 0 0.00134542 0 
4.27747e-05 0.915909 0.0181818 0.0293098 0.0181818 0.0184175 
0.620406 0.0113559 0.906168 0.0122152 0.0702565 4.39376e-06 
0.000278825 0.998493 0.000376648 0.000376648 0.000376648 0.000376648 
0.186681 1.8665e-05 0.999971 4.0981e-06 3.67585e-06 2.5416e-06 
3.31496e-07 0.2 0.2 0.2 0.2 0.2 
0.402561 0.000478399 0.999234 0.000212058 2.5308e-05 4.99377e-05 
0.692116 0.999417 1.84937e-05 0.000203213 0.00033229 2.85986e-05 
0.880076 0.00939889 0.988222 0.00180483 0.00057405 0 
0.698197 0.962839 4.39991e-07 0.0123859 0.0247703 3.99338e-06 
0.304494 0.0236141 0.976362 1.05424e-05 1.34313e-05 0 
0.882647 0.99996 0 0 4.02324e-05 0 
0.525947 0.00124478 0.979207 2.4259e-06 0.0195438 2.4259e-06 
0.629913 0.00197953 0.992659 0.00535807 2.22893e-06 1.20832e-06 
0.818784 0.00837036 0.736527 0.253304 0.00156115 0.000237285 
0.207876 0.00230889 0.872559 0.000138709 0.124991 2.09971e-06 
0.390671 0.00178455 0.679205 0.316595 0.00241462 0 
0.126589 0.0141099 0.0244939 0.810219 0.150598 0.000579203 
0.198789 0.0510646 0.844091 0.103914 0.00092872 2.37378e-06 
0.140606 0.0487757 0.89009 0.0176832 0.0433007 0.000150142 
0.43789 0.00375782 0.996189 5.17531e-05 1.48575e-06 0 
0.228831 0.016823 0.173267 0.55754 0.252293 7.62212e-05 
0.683811 0.0128764 0.81929 0.167818 2.9918e-06 1.2842e-05 
0.367985 0.00308294 0.606436 3.0682e-06 0.390478 0 
0.703745 0.907238 0.0879384 0 0.00482406 0 
0.275313 0.00785338 0.986504 0.00347855 0.00215568 8.40372e-06 
0.0108155 0.999961 9.83091e-06 9.83091e-06 9.83091e-06 9.83091e-06 
0.306601 0.0106945 0.769037 0.0994325 0.120815 2.0951e-05 
0.383756 0.978539 0.0126873 0.00875123 2.22642e-05 0 
0.939049 0.0476639 0.94804 0.0042956 0 8.70752e-07 
