5
Fold Check-Call 50%-Pot 100%-Pot All-In 
0.0797197 0.370227 0.602689 0.0127811 0.0142738 2.88066e-05 
0.372508 0.610017 0.360484 0.0136106 0.0158855 2.68972e-06 
0.144746 0.518328 0.48112 0.000551898 0 0 
0.0343221 0.612081 0.382528 0.0031603 0.00189641 0.000333883 
0.569786 0.999884 2.49838e-05 6.83753e-05 1.7605e-06 2.11551e-05 
0.131242 0.749852 0.245439 0.00301911 0.00165574 3.38709e-05 
0.892591 0.999405 0.00038795 0.000199875 3.61878e-06 3.6145e-06 
0.0636802 0.021049 0.976587 2.34888e-05 0.0013673 0.000972909 
0.987379 0.0155517 0.984068 8.76745e-06 0.0003608 1.1028e-05 
0.361677 0.703371 0.285826 0.00723722 0.00331035 0.000254958 
0.242957 0.93865 0.0423614 0.013011 0.00587854 9.94393e-05 
0.907905 0.104588 0.881022 0.00711556 0.00715664 0.00011832 
0.827705 0.329761 0.655381 0.00745777 0.00729437 0.000106296 
0.0446454 0.142789 0.854267 0.000125758 0.0027823 3.55596e-05 
0.908696 0.169844 0.812581 0.0115703 0.0059886 1.57684e-05 
0.666138 0.00289293 0.993207 0.00318837 0.000273078 0.000438435 
0.748384 0.0975932 0.880825 0.0159133 0.00512017 0.00054776 
0.103164 0.407909 0.573932 0.013099 0.00483141 0.000228626 
0.501914 0.608968 0.37493 0.0128473 0.00324496 9.93974e-06 
0.172923 0.503716 0.495709 0.000559452 7.63863e-06 7.55401e-06 
0.312349 0.754506 0.23849 8.41602e-05 1.86297e-05 0.00690139 
0.733439 0.999696 0.000222689 4.73157e-05 2.3779e-05 1.05808e-05 
0.00804279 0.021049 0.976587 2.34888e-05 0.0013673 0.000972909 
0.582006 0.0150643 0.984293 8.78485e-07 0.000641999 1.68055e-07 
0.754084 0.000314912 0.950809 0.0479238 0.000185268 0.000767447 
0.506553 0.00147258 0.969657 0.0161255 0.0127139 3.09697e-05 
0.0770502 0.181053 0.766258 0.0424645 0.00954653 0.000678446 
0.934314 0.328034 0.659436 0.0106772 0.00163624 0.000215742 
0.82765 0.142789 0.854267 0.000125758 0.0027823 3.55596e-05 
0.514701 0.149407 0.845737 0.000138624 0.00470149 1.56446e-05 
0.578797 0.00289293 0.993207 0.00318837 0.000273078 0.000438435 
0.693809 0.0975932 0.880825 0.0159133 0.00512017 0.00054776 
0.2228 0.738083 0.261784 7.82838e-05 2.27029e-05 3.2371e-05 
0.750223 0.744397 0.255524 6.34704e-05 1.44917e-05 1.32289e-06 
0.00351424 0.402105 0.564902 0.0127382 0.00800367 0.0122513 
0.200589 0.120931 0.877246 2.2171e-05 0.000828094 0.000972657 
0.489047 0.0816522 0.918065 0 0.000282528 0 
0.113537 0.000314912 0.950809 0.0479238 0.000185268 0.000767447 
0.672674 0.00147258 0.969657 0.0161255 0.0127139 3.09697e-05 
0.00741726 0.181053 0.766258 0.0424645 0.00954653 0.000678446 
0.380674 0.328034 0.659436 0.0106772 0.00163624 0.000215742 
0.0546598 0.142789 0.854267 0.000125758 0.0027823 3.55596e-05 
0.703177 0.149407 0.845737 0.000138624 0.00470149 1.56446e-05 
0.200457 0.0975932 0.880826 0.0159133 0.00512017 0.00054776 
0.259181 0.0975932 0.880825 0.0159133 0.00512017 0.00054776 
0.0382049 0.586839 0.413059 5.65111e-05 1.78889e-05 2.7557e-05 
0.284323 0.678186 0.321813 4.10196e-07 4.10196e-07 4.10196e-07 
0.00513886 0.0733842 0.0573491 0.0653608 0.0443215 0.759584 
0.239196 0.000400103 0.995034 0.00373481 0.000563173 0.000268124 
0.520459 0.00406322 0.989051 0.00113267 0.00472311 0.00102995 
0.00875644 1.22864e-05 0.960536 0.00434789 0.0317615 0.00334261 
0.872438 7.6959e-06 0.943982 0.023631 0.0304162 0.00196354 
0.000465966 0.0376501 0.925726 0.0248238 0.0115982 0.000202202 
0.609903 0.0249081 0.943522 0.0241997 0.00736353 6.65555e-06 
0.0792111 1.57525e-06 0.921909 0.0493418 0.0286225 0.000124773 
0.449747 1.73966e-06 0.949103 0.0304157 0.0164021 0.00407737 
0.223817 0.00131326 0.997287 2.10637e-05 0.000851722 0.000526943 
0.439152 0.000918683 0.998782 3.28165e-06 0.000233255 6.32547e-05 
6.0802e-05 0.0280216 0.938743 0.0249437 0.00828373 7.4875e-06 
0.0408686 0.000206925 0.993532 3.85058e-05 0.00583488 0.000387365 
0.739145 0.000223751 0.994386 2.56705e-05 0.00401698 0.00134773 
0.0361763 0.000214324 0.800995 0.0565415 0.028239 0.11401 
0.373634 1.31417e-05 0.49858 0.206061 0.13583 0.159516 
0.0475825 0 0.995346 0 0.00451059 0.000143337 
0.768465 3.72015e-05 0.991257 0.000253927 0.00700265 0.00144895 
0.0353736 0.000571168 0.843961 0.12484 0.0005244 0.0301039 
0.349335 0.000599571 0.995678 0.00290278 0.000793328 2.64833e-05 
7.98847e-07 0 0.172047 0 0.132964 0.694988 
0.0101106 0.00299271 0.938148 0.0570834 0.000497615 0.00127878 
0.728275 0.00299271 0.938148 0.0570834 0.000497615 0.00127878 
0.0346643 6.52955e-07 0.861653 0.00428858 0.0946524 0.0394054 
0.573835 1.30591e-06 0.923507 0.00473472 0.0473802 0.0243764 
0.0444078 0.367788 0.300019 0.0339872 0.00530788 0.292898 
0.556175 0.365293 0.628632 0.000885503 0.00468873 0.00050094 
4.53182e-05 0.180943 0.1 0.157895 0.280581 0.280581 
0.0101464 0.472948 0.15004 0.00209795 0.0338932 0.341021 
0.005145 0.315562 0.10029 0.165114 0.0228589 0.396175 
0.00226958 0.296627 0.524018 0.132037 0.0145301 0.032788 
0.00136457 0.19797 0.782383 0.00770093 0.0101305 0.00181594 
1.29831e-07 0 0.172047 0 0.132964 0.694988 
2.47297e-06 0.2 0.2 0.2 0.2 0.2 
1.60964e-05 0.290983 0.183347 0.134033 0.144631 0.247007 
9.64907e-07 0.2 0.2 0.2 0.2 0.2 
