8
Fold Check-Call 50%-Pot 75%-Pot 100%-Pot 200%-Pot 400%-Pot All-In 
1.50317e-05 0.0122156 6.96398e-05 0.942743 0.00454749 0.0400471 0.000123025 5.71054e-05 0.000197044 
0.745164 7.23116e-05 0.0506258 0.948779 0.000269454 0.00015458 8.27591e-05 1.62982e-05 1.10952e-07 
0.984867 7.23116e-05 0.0506258 0.948779 0.000269454 0.00015458 8.27591e-05 1.62982e-05 1.10952e-07 
0.012185 0.0234793 0.0158003 0.506271 0.222047 0.106899 0.105722 0.019732 5.07043e-05 
3.76684e-06 0.0234793 0.0158003 0.506271 0.222047 0.106899 0.105722 0.019732 5.07043e-05 
0.478185 5.50192e-05 0.0843664 0.903666 0.0116101 0.000247154 2.93795e-05 2.54673e-05 3.73064e-07 
0.888201 5.50192e-05 0.0843664 0.903666 0.0116101 0.000247154 2.93795e-05 2.54673e-05 3.73064e-07 
0.832687 0.000216947 0.000567132 0.974106 0.0210019 0.00387719 0.000230298 0 0 
0.613454 0.000216947 0.000567132 0.974107 0.0210019 0.00387719 0.000230298 0 0 
0.54358 6.52244e-06 0.00601364 0.990649 0.00199861 0.0012373 6.51338e-05 2.96316e-05 0 
0.608024 6.52244e-06 0.00601364 0.990649 0.00199861 0.0012373 6.51338e-05 2.96316e-05 0 
0.3173 0.000568547 0.645462 0.352903 0.00047975 5.40265e-06 0.000394871 0.000185431 1.08607e-06 
0.11602 0.000568547 0.645462 0.352903 0.00047975 5.40265e-06 0.000394871 0.000185431 1.08607e-06 
0.00315861 0 0.352789 0.118791 0.283546 0.1442 0.0726599 0.0109192 0.017095 
0.0302722 0.000376205 0.895177 0.0142692 0.0722005 0.0152315 0.00268401 3.37924e-05 2.77039e-05 
8.01426e-08 0.000376205 0.895177 0.0142692 0.0722005 0.0152315 0.00268401 3.37924e-05 2.77039e-05 
0.00450785 0.000376205 0.895177 0.0142692 0.0722005 0.0152315 0.00268401 3.37924e-05 2.77039e-05 
3.20653e-06 0.00236513 0.96231 0.0127609 0.0225229 0 7.14237e-06 3.37743e-05 0 
0.147252 0.00236513 0.96231 0.0127609 0.0225229 0 7.14237e-06 3.37743e-05 0 
7.84588e-06 0.00236513 0.96231 0.0127609 0.0225229 0 7.14237e-06 3.37743e-05 0 
0.934246 9.03429e-08 0.00952534 0.985367 0.00365128 0.000540725 0.000705937 0.000206853 2.66971e-06 
0.824953 9.03429e-08 0.00952534 0.985367 0.00365128 0.000540725 0.000705937 0.000206853 2.66971e-06 
0.0104192 0.0101414 0.0469549 0.833098 0.0576599 0.0479238 0.00417062 2.40755e-05 2.75785e-05 
4.3141e-06 0.0101414 0.0469549 0.833098 0.0576599 0.0479238 0.00417062 2.40755e-05 2.75785e-05 
0.744344 1.69635e-07 0.0694899 0.89015 0.0310393 0.00444024 0.00411753 0.000713094 4.97682e-05 
0.369382 1.69635e-07 0.0694899 0.89015 0.0310393 0.00444024 0.00411753 0.000713094 4.97682e-05 
0.403971 7.21874e-05 0.117824 0.877672 0.00405827 0.000283375 2.83188e-05 6.20703e-05 1.14129e-07 
0.543615 7.21874e-05 0.117824 0.877672 0.00405827 0.000283375 2.83188e-05 6.20703e-05 1.14129e-07 
0.350889 8.15205e-08 0.000800635 0.981893 0.0122956 0.00466043 0.000232965 0.000116973 0 
0.390658 8.15205e-08 0.000800635 0.981893 0.0122956 0.00466043 0.000232965 0.000116973 0 
0.0612017 0.000536125 0.303613 0.679865 0.0146952 0.00119997 7.16216e-05 1.85891e-05 0 
0.0939609 0.000536125 0.303613 0.679865 0.0146952 0.00119997 7.16216e-05 1.85891e-05 0 
0.0462443 0.000536125 0.303613 0.679865 0.0146952 0.00119997 7.16216e-05 1.85891e-05 0 
0.00356657 0.130869 0.00132545 0.305372 0.171968 0.359398 0.0257072 0.00530882 5.22794e-05 
1.99275e-06 0.130869 0.00132545 0.305372 0.171968 0.359398 0.0257072 0.00530882 5.22794e-05 
0.0206519 0.0307156 0.00158016 0.326035 0.381155 0.203167 0.0410077 0.0163014 3.84503e-05 
6.3812e-06 0.0307156 0.00158016 0.326035 0.381155 0.203167 0.0410077 0.0163014 3.84503e-05 
0.0615049 9.77747e-05 0.376562 0.612802 0.0104593 2.22958e-05 3.65048e-05 1.9061e-05 9.25346e-07 
1 9.77747e-05 0.376562 0.612802 0.0104593 2.22958e-05 3.65048e-05 1.9061e-05 9.25346e-07 
0.0173269 0.0197495 0.000280776 0.251115 0.363384 0.163838 0.141875 0.0597298 2.82127e-05 
2.02077e-06 0.0625 0.0625 0.159722 0.196759 0.0625 0.0625 0.196759 0.196759 
0.995665 9.06909e-05 0.011969 0.97165 0.0151194 0.00111712 4.71622e-05 1.96302e-06 4.61962e-06 
0.814007 9.06909e-05 0.011969 0.97165 0.0151194 0.00111712 4.71622e-05 1.96302e-06 4.61962e-06 
0.0385807 0.000263948 0.00183462 0.97396 0.0191779 0.00403498 0.000544895 0.000182548 6.90334e-07 
0.66749 0.000263948 0.00183462 0.973961 0.0191779 0.00403498 0.000544895 0.000182548 6.90334e-07 
0.385975 5.22909e-05 0.366331 0.558039 0.038383 0.0371773 1.50233e-05 2.20628e-06 0 
0.553279 5.22909e-05 0.366331 0.558039 0.038383 0.0371773 1.50233e-05 2.20628e-06 0 
0.051681 0.00567822 0.37036 0.433919 0.130212 0.0463132 0.0132033 0.000311989 2.75254e-06 
0.0566535 0.00196569 0.602307 0.372114 0.0116389 0.00441371 0.00424088 0.00331961 0 
0.1041 0.000749577 0.925289 0.0693111 0.00128262 0.00333795 1.00844e-05 2.01187e-05 0 
5.29833e-05 0.973728 0.00996813 0.00271739 0.00271739 0.00271739 0.00271739 0.00271739 0.00271739 
1.47678e-05 0.973727 0.00996813 0.00271739 0.00271739 0.00271739 0.00271739 0.00271739 0.00271739 
0.00797299 0.000210798 0.574186 0.421679 0.00276471 0.00114681 0 1.31064e-05 0 
0.600175 0.000210798 0.574186 0.421679 0.00276471 0.00114681 0 1.31064e-05 0 
0.439434 0.00115511 0 0.991925 0.00586683 0.000412368 0.000640181 0 0 
0.350896 0.000502912 0.000102187 0.97646 0.00778539 0.0151488 0 1.00341e-06 0 
0.0532043 0.000195143 0.124011 0.87071 0.00375516 0.00118028 0.000122268 2.19523e-05 4.23711e-06 
0.668685 0.000195143 0.124011 0.87071 0.00375516 0.00118028 0.000122268 2.19523e-05 4.23711e-06 
0.715221 0.000313322 0.0105199 0.977111 0.0114966 0.000261128 0.000293504 0 5.02012e-06 
0.376621 0.000313322 0.0105199 0.977111 0.0114966 0.000261128 0.000293504 0 5.02012e-06 
0.411951 6.08541e-05 0.567382 0.406324 0.0150813 0.010677 0.000408239 6.52773e-05 1.27273e-06 
0.36361 6.08541e-05 0.567382 0.406324 0.0150813 0.010677 0.000408239 6.52773e-05 1.27273e-06 
0.0633758 0.00813238 0.831515 0.155784 0.00135134 0.00290194 4.34462e-05 0.000205262 6.67722e-05 
0.0799411 0.00179579 0.991785 0.00111742 0.00182247 0.00176211 0.00170488 6.99263e-06 5.61064e-06 
0.00112891 0.0465972 0.348401 0.121681 0.275736 0.156752 0.0111604 0.0396721 0 
0.218499 8.61902e-05 0.0313111 0.963161 0.00522604 1.84688e-05 0.00011267 8.42445e-05 0 
0.536386 8.61902e-05 0.0313111 0.963161 0.00522604 1.84688e-05 0.00011267 8.42445e-05 0 
0.0661626 0.000306642 0.000148262 0.963518 0.0340014 0.00176062 0.00026271 1.25452e-07 2.48302e-06 
0.46597 0.000306642 0.000148262 0.963518 0.0340014 0.00176062 0.00026271 1.25452e-07 2.48302e-06 
0.00486543 0.000253771 0.0242013 0.919192 0.0541257 0.0021237 8.16299e-05 1.07837e-05 1.11846e-05 
0.272447 0.000253771 0.0242013 0.919192 0.0541257 0.0021237 8.16299e-05 1.07837e-05 1.11846e-05 
0.0472347 0.000410581 0.00303264 0.974971 0.0129691 0.00740611 6.34236e-06 0.00120399 4.59392e-07 
0.514534 0.000410581 0.00303264 0.974971 0.0129691 0.00740611 6.34236e-06 0.00120399 4.59392e-07 
0.0953897 0.000257092 0.0261213 0.930765 0.0336425 0.00793115 0.00110576 0.000148774 2.85025e-05 
0.135831 0.000257092 0.0261213 0.930765 0.0336425 0.00793115 0.00110576 0.000148774 2.85025e-05 
0.017647 0.000653306 0.982599 0.00901571 0.00349368 0.00164732 0.00139202 0.00119455 4.59607e-06 
0.131231 0.000653306 0.982599 0.00901571 0.00349368 0.00164733 0.00139202 0.00119455 4.59607e-06 
0.000261892 0.000954198 0.349663 0.318372 0.00808293 0.194822 0.114426 0.000954198 0.0127252 
0.228186 8.56031e-05 0.00220133 0.993288 0.00273879 0.00164576 3.85134e-05 1.55679e-06 3.49286e-07 
